Name,Address,City,Zip,longitude,latitude
Henry Hibino,106 Rico St,Salinas,93907,-121.660475,36.6829
G & H,10 Harkins Rd,Salinas,93901,-121.634881,36.646338
Fontes,120 Mcfadden Rd,Salinas,93908,-121.72005,36.69354
European Veg Spec,1120 Growers St,Salinas,93901,-121.63118,36.65262
Duda,1260 Growers St,Salinas,93901,-121.6325,36.64913
Costa,36017 Foothill Rd,Soledad,93960,-121.375058,36.399006
Christierson Sig,1060 Growers St,Salinas,93901,-121.63085,36.65353
Carmel River,500 W Carmel Valley Rd,Carmel Valley,93924,-121.76101,36.50207
Cal. -Clark,26615 Carmel Center Pl,Carmel Valley,93923,-121.90944,36.53786
Boss,375 W Market St,Salinas,93901,-121.66639,36.68143
Huntington,32886 Silliman Rd,Soledad,93960,-121.365025,36.442485
Iwamoto,357 Natividad Rd,Salinas,93906,-121.61396,36.73266
Joe Panziera,36841 Arroyo Seco Rd,Soledad,93960,-121.33008,36.38673
K & A,222 Natividad Rd,Salinas,93906,-121.623226,36.716339
Kondo,357 Natividad Rd,Salinas,93906,-121.61396,36.73266
Merrill,1067 Merrill St,Salinas,93901,-121.63504,36.64752
Merrill2,83 Harkins Rd,Salinas,93908,-121.64216,36.63112
Mid County,14 Spreckels Ln,Salinas,93908,-121.66801,36.62971
Mid County2,20200 Anza Dr,Salinas,93908,-121.69404,36.611505
Monterey Bay,917 Boronda Rd,Salinas,93907,-121.66364,36.72232
Premiuim Fresh,20800 Spence Rd,Salinas,93908,-121.56384,36.616005
Rincon,28502 Corda Rd,Gonzales,93926,-121.46546,36.51454
Rocket,360 Espinosa Rd,Salinas,93907,-121.686125,36.73806
Sea Mist,11500 Del Monte Ave,Castroville,95012,-121.7455,36.76174
Sunridge,1166 Growers St,Salinas,93901,-121.6315,36.6518
Taylor,1211 Abbott St,Salinas,93901,-121.62832,36.65417
Transfresh,607 Brunken Ave,Salinas,93901,-121.63869,36.663525
V & L,21216 Valle San Juan Dr,Salinas,93907,-121.61307,36.76163
V & V,734 S. Alta St,Gonzales,93926,-121.434558,36.497648